time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2010-03-07T06:14:12.350Z,36.8128333,-121.5356667,4.93,3.55,mw,92,34,0.03063,0.16,nc,nc71359775,2017-03-17T21:34:01.223Z,"Central California",earthquake,0.16,0.33,,3,reviewed,nc,nc
2010-02-08T19:56:23.890Z,36.723,-121.3635,2.886,3.5,mw,70,38,0.04775,0.07,nc,nc71350686,2017-03-17T21:33:03.040Z,"Central California",earthquake,0.12,0.38,,4,reviewed,nc,nc
2010-01-08T19:48:50.050Z,37.4821667,-121.793,9.373,3.73,mw,179,37,0.03243,0.15,nc,nc71337451,2017-03-17T21:25:20.313Z,"San Francisco Bay area, California",earthquake,0.14,0.33,,3,reviewed,nc,nc
2010-01-07T18:09:35.040Z,37.4811667,-121.7986667,10.753,4.05,mw,201,36,0.03063,0.17,nc,nc71336726,2017-03-17T21:24:25.236Z,"San Francisco Bay area, California",earthquake,0.14,0.34,,4,reviewed,nc,nc
2009-11-01T14:55:34.130Z,36.6323333,-121.2526667,10.527,3.55,mw,89,39,0.03784,0.08,nc,nc71303390,2017-03-17T21:21:02.022Z,"Central California",earthquake,0.12,0.21,,4,reviewed,nc,nc
2009-10-14T03:27:41.220Z,37.6396667,-121.8786667,9.165,3.71,mw,224,14,0.01802,0.21,nc,nc71299286,2017-03-17T21:19:49.555Z,"San Francisco Bay area, California",earthquake,0.13,0.2,,3,reviewed,nc,nc
2009-09-09T18:45:52.080Z,36.9021667,-121.6321667,4.854,3.56,mw,103,39,0.03784,0.12,nc,nc71278336,2017-03-17T21:18:32.378Z,"Central California",earthquake,0.13,0.31,,4,reviewed,nc,nc
2009-09-06T09:47:15.190Z,36.8515,-121.4115,9.35,3.87,mw,117,33,0.03604,0.09,nc,nc71271995,2017-03-17T21:16:49.553Z,"Central California",earthquake,0.11,0.2,,4,reviewed,nc,nc
2009-06-08T22:15:04.510Z,37.822,-121.965,8.657,3.51,mw,132,60,0.04324,0.17,nc,nc40237825,2017-03-17T20:23:55.844Z,"San Francisco Bay area, California",earthquake,0.14,0.26,,4,reviewed,nc,nc
2009-04-30T22:50:54.670Z,37.2535,-121.6358333,6.045,3.51,mw,139,31,0.03063,0.08,nc,nc51220793,2017-03-17T21:04:50.659Z,"Northern California",earthquake,0.09,0.25,,4,reviewed,nc,nc
2009-03-30T17:40:29.260Z,37.2848333,-121.6156667,7.145,4.3,mw,170,57,0.05225,0.14,nc,nc40234037,2017-03-17T20:22:12.282Z,"Northern California",earthquake,0.12,0.35,,7,reviewed,nc,nc
2009-03-08T14:47:19.540Z,37.4743333,-121.8045,9.419,3.5,mw,162,29,0.02432,0.13,nc,nc40232887,2017-03-17T20:19:05.367Z,"San Francisco Bay area, California",earthquake,0.11,0.29,,4,reviewed,nc,nc
2009-02-06T00:20:28.960Z,36.693,-121.3223333,4.541,3.7,mw,81,41,0.04775,0.08,nc,nc40231391,2017-03-17T20:17:41.836Z,"Central California",earthquake,0.11,0.35,,5,reviewed,nc,nc
2009-01-21T20:49:42.510Z,36.6978333,-121.3306667,6.314,3.5,mw,82,34,0.05586,0.08,nc,nc51215680,2017-03-17T21:03:02.464Z,"Central California",earthquake,0.12,0.35,,3,reviewed,nc,nc
2009-01-20T09:12:26.870Z,36.691,-121.3215,5.021,3.8,mw,82,43,0.04595,0.08,nc,nc51215576,2017-03-17T21:02:22.883Z,"Central California",earthquake,0.12,0.38,,4,reviewed,nc,nc
2009-01-20T08:14:42.500Z,36.6963333,-121.3278333,4.674,3.8,mw,82,37,0.05315,0.09,nc,nc51215567,2017-03-17T21:01:43.337Z,"Central California",earthquake,0.12,0.38,,4,reviewed,nc,nc
